site,spectrum_id,running_state,label_source,ssn_B1,lr_B2_B4,spectral_spread,rolloff_norm_B3,curvature_B2,flat_fraction,flat_override,vote_ssn_B1,vote_lr_B2_B4,vote_spectral_spread,vote_rolloff_norm_B3,vote_curvature_B2,total_votes,weighted_score,weighted_score_norm,prediction
Harq_ST2_PT,HARQST-2 EMI PT_20250411_1508 – HARQST-2 EMI - PT HFCT,ON,cluster,-0.09335184160301607,4.9602,564.3591,0.20199999999999993,-0.05081797649437939,0.03325,0,0.0,1.0,0.0,1.0,1.0,3.0,2.296,0.5666337611056269,ON
Harq_ST2_PT,HARQST-2 EMI PT_20250505_1149 – HARQST-2 EMI - PT HFCT,OFF,cluster,-0.023974787248271578,3.8514,618.0777,0.1745,-1.7897917074084293,0.024375,0,1.0,1.0,0.0,1.0,0.0,3.0,2.522,0.6224086870681145,ON
Harq_ST2_PT,HARQST-2 EMI PT_20250528_1909 – HARQST-2 EMI - PT HFCT,ON,cluster,-0.0966336494620409,4.7228,538.2235,0.182,0.13254254529324458,0.028625,0,0.0,1.0,1.0,1.0,1.0,4.0,3.1069999999999998,0.766781836130306,ON
Harq_ST2_PT,HARQST-2 EMI PT_20250605_1954 – HARQST-2 EMI - PT HFCT,ON,cluster,-0.10478375868299987,4.1008,504.1089,0.226,0.5413748402016596,0.060375,0,0.0,1.0,1.0,1.0,1.0,4.0,3.1069999999999998,0.766781836130306,ON
Harq_ST2_PT,HARQST-2 EMI PT_20250616_1917 – HARQST-2 EMI - PT HFCT,ON,cluster,-0.11558498557815876,3.9042,470.0322,0.142,0.20334970873434313,0.024,0,0.0,1.0,1.0,1.0,1.0,4.0,3.1069999999999998,0.766781836130306,ON
Harq_ST2_PT,HARQST-2 EMI PT_20250702_1519 – HARQST-2 EMI - PT HFCT,ON,cluster,-0.10086004738664403,4.6269,527.2297,0.16949999999999996,-0.22804483723760477,0.009875,0,0.0,1.0,1.0,1.0,1.0,4.0,3.1069999999999998,0.766781836130306,ON
Harq_ST2_PT,HARQST-2 EMI PT_20250713_1131 – HARQST-2 EMI - PT HFCT,ON,cluster,-0.1027258682714394,4.3349,511.1736,0.2775,-0.061420268048234174,0.018375,0,0.0,1.0,1.0,1.0,1.0,4.0,3.1069999999999998,0.766781836130306,ON
Harq_ST2_PT,HARQST-2 EMI PT_20250921_1159 – HARQST-2 EMI - PT HFCT,ON,cluster,-0.09346917977196058,5.0548,547.2439,0.2805,-0.3475213209298437,0.013125,0,0.0,1.0,0.0,1.0,0.0,2.0,1.577,0.38919052319842057,ON
Harq_ST2_PT,HARQST-2 EMI PT_20251117_1821 – HARQST-2 EMI - PT HFCT,OFF,cluster,-0.07275957288131422,3.4761,592.434,0.171,-1.6490035173266362,0.0475,0,1.0,1.0,0.0,1.0,0.0,3.0,2.522,0.6224086870681145,ON
Harq_ST3_PT,HARQST-3 EMI PT_20250402_1159 – HARQST-3 EMI - PT HFCT,OFF,cluster,-0.14798065690309353,-0.2594,750.8912,0.8275,0.5381963399636175,0.34425,0,0.0,0.0,0.0,0.0,1.0,1.0,0.719,0.17744323790720634,OFF
Harq_ST3_PT,HARQST-3 EMI PT_20250404_1916 – HARQST-3 EMI - PT HFCT,OFF,cluster,-0.14787404869992715,-0.2581,771.0567,0.831,0.5491183768299646,0.32175,0,0.0,0.0,0.0,0.0,1.0,1.0,0.719,0.17744323790720634,OFF
Harq_ST3_PT,HARQST-3 EMI PT_20250425_1146 – HARQST-3 EMI - PT HFCT,OFF,cluster,-0.1342296430510013,-0.2882,808.1209,0.8435,0.44916096832870706,0.25575,0,0.0,0.0,0.0,0.0,1.0,1.0,0.719,0.17744323790720634,OFF
Harq_ST3_PT,HARQST-3 EMI PT_20250530_1545 – HARQST-3 EMI - PT HFCT,ON,cluster,-0.21326507678482712,3.1502,309.0446,0.684,1.7200589431257913,0.189,0,0.0,0.0,1.0,1.0,1.0,3.0,2.268,0.5597235932872655,ON
Harq_ST3_PT,HARQST-3 EMI PT_20250605_1924 – HARQST-3 EMI - PT HFCT,ON,cluster,-0.18892946003936997,3.7891,323.539,0.637,1.8547149435252064,0.1625,0,0.0,1.0,1.0,1.0,1.0,4.0,3.1069999999999998,0.766781836130306,ON
Harq_ST3_PT,HARQST-3 EMI PT_20250616_1111 – HARQST-3 EMI - PT HFCT,ON,cluster,-0.22471037930535065,3.8491,287.7558,0.759,1.2375769580055818,0.229375,0,0.0,1.0,1.0,0.0,1.0,3.0,2.3689999999999998,0.5846495557749259,ON
Harq_ST3_PT,HARQST-3 EMI PT_20250713_1932 – HARQST-3 EMI - PT HFCT,ON,cluster,-0.22886516290456516,1.505,262.7655,0.4425,0.30871288135237407,0.1175,0,0.0,0.0,1.0,1.0,1.0,3.0,2.268,0.5597235932872655,ON
Harq_ST3_PT,HARQST-3 EMI PT_20250927_1547 – HARQST-3 EMI - PT HFCT,ON,cluster,-0.22250973280771055,0.145,336.5286,0.272,-0.6442536140136073,0.088375,0,0.0,0.0,1.0,1.0,0.0,2.0,1.549,0.3822803553800593,ON
Harq_ST3_PT,HARQST-3 EMI PT_20251019_1117 – HARQST-3 EMI - PT HFCT,ON,cluster,-0.2305654233811942,-0.336,333.428,0.2075,-0.40450725583758385,0.065625,0,0.0,0.0,1.0,1.0,0.0,2.0,1.549,0.3822803553800593,ON
Harq_ST3_PT,HARQST-3 EMI PT_20251118_1432 – HARQST-3 EMI - PT HFCT,OFF,cluster,-0.18320799191075426,-1.2539,1027.4123,0.8675,0.8091914973340535,0.2925,0,0.0,0.0,0.0,0.0,1.0,1.0,0.719,0.17744323790720634,OFF
